id,ans
1,4
2,3
3,3
4,1
5,0
6,0
7,2
8,3
9,3
10,0
11,1
12,3
13,3
14,5
15,2
16,0
17,4
18,0
19,3
20,5
21,0
22,2
23,5
24,4
25,4
26,5
27,5
28,3
29,0
30,0
31,5
32,4
33,1
34,2
35,3
36,1
37,1
38,2
39,3
40,3
41,4
42,5
43,0
44,5
45,4
46,3
47,4
48,3
49,5
50,3
51,2
52,3
53,5
54,1
55,4
56,5
57,5
58,3
59,1
60,0
61,4
62,3
63,2
64,4
65,1
66,3
67,0
68,2
69,3
70,4
71,1
72,1
73,0
74,3
75,0
76,4
77,2
78,5
79,3
80,0
81,3
82,3
83,2
84,4
85,1
86,5
87,1
88,3
89,3
90,4
91,5
92,1
93,0
94,5
95,3
96,3
97,2
98,2
99,5
100,5
101,2
102,5
103,0
104,0
105,0
106,3
107,0
108,5
109,0
110,5
111,3
112,5
113,1
114,3
115,5
116,0
117,2
118,4
119,0
120,1
121,3
122,2
123,3
124,4
125,5
126,1
127,3
128,3
129,0
130,5
131,1
132,2
133,3
134,1
135,0
136,3
137,3
138,2
139,0
140,0
141,2
142,2
143,0
144,5
145,4
146,2
147,4
148,5
149,0
150,0
151,0
152,4
153,2
154,5
155,0
156,4
157,0
158,5
159,4
160,3
161,2
162,1
163,5
164,4
165,3
166,2
167,1
168,1
169,0
170,0
171,0
172,5
173,0
174,4
175,2
176,1
177,0
178,3
179,4
180,3
181,4
182,2
183,3
184,1
185,3
186,1
187,0
188,5
189,3
190,4
191,3
192,5
193,0
194,3
195,1
196,0
197,5
198,4
199,0
200,5
201,5
202,3
203,3
204,4
205,0
206,5
207,4
208,5
209,5
210,0
211,0
212,2
213,5
214,4
215,4
216,0
217,5
218,2
219,2
220,4
221,1
222,1
223,5
224,2
225,4
226,2
227,1
228,5
229,1
230,1
231,2
232,0
233,1
234,5
235,3
236,5
237,3
238,5
239,0
240,5
241,1
242,0
243,4
244,3
245,3
246,5
247,0
248,5
249,2
250,0
251,2
252,2
253,3
254,4
255,4
256,3
257,1
258,1
259,4
260,1
261,2
262,2
263,1
264,1
265,1
266,4
267,2
268,4
269,3
270,4
271,4
272,3
273,2
274,1
275,2
276,4
277,1
278,4
279,3
280,2
281,0
282,5
283,3
284,5
285,1
286,5
287,3
288,1
289,4
290,3
291,5
292,2
293,0
294,2
295,4
296,2
297,2
298,0
299,1
300,0
301,1
302,5
303,1
304,0
305,3
306,0
307,0
308,5
309,1
310,1
311,3
312,1
313,2
314,3
315,5
316,2
317,0
318,3
319,0
320,0
321,4
322,2
323,2
324,3
325,2
326,2
327,2
328,0
329,0
330,1
331,3
332,5
333,0
334,3
335,0
336,3
337,5
338,3
339,5
340,2
341,5
342,4
343,5
344,2
345,4
346,4
347,4
348,2
349,1
350,0
351,2
352,1
353,3
354,4
355,2
356,4
357,2
358,4
359,4
360,1
361,0
362,2
363,5
364,0
365,3
366,5
367,2
368,4
369,1
370,1
371,1
372,5
373,0
374,0
375,3
376,3
377,1
378,0
379,0
380,2
381,5
382,0
383,5
384,2
385,1
386,2
387,5
388,3
389,5
390,1
391,0
392,4
393,1
394,2
395,5
396,2
397,2
398,2
399,1
400,0
401,0
402,2
403,1
404,0
405,3
406,0
407,3
408,2
409,2
410,2
411,5
412,0
413,5
414,2
415,3
416,4
417,1
418,5
419,1
420,5
421,4
422,1
423,5
424,2
425,4
426,1
427,0
428,2
429,4
430,4
431,0
432,5
433,4
434,4
435,1
436,4
437,0
438,4
439,1
440,0
441,1
442,5
443,0
444,0
445,0
446,1
447,4
448,5
449,0
450,3
451,0
452,0
453,0
454,4
455,2
456,1
457,5
458,1
459,5
460,2
461,2
462,3
463,2
464,3
465,5
466,1
467,3
468,0
469,1
470,5
471,4
472,3
473,4
474,2
475,0
476,2
477,0
478,1
479,3
480,2
481,4
482,1
483,4
484,0
485,5
486,1
487,3
488,2
489,5
490,4
491,4
492,0
493,0
494,4
495,2
496,5
497,4
498,3
499,1
500,4
501,0
502,4
503,1
504,2
505,2
506,5
507,2
508,1
509,2
510,5
511,1
512,1
513,2
514,4
515,1
516,5
517,2
518,4
519,5
520,4
521,3
522,0
523,5
524,1
525,4
526,1
527,5
528,0
529,4
530,0
531,2
532,5
533,2
534,4
535,3
536,3
537,4
538,4
539,0
540,0
541,3
542,1
543,2
544,0
545,0
546,2
547,4
548,3
549,5
550,5
551,4
552,4
553,0
554,5
555,1
556,1
557,1
558,3
559,5
560,4
561,3
562,0
563,2
564,3
565,2
566,5
567,5
568,3
569,5
570,0
571,5
572,5
573,0
574,4
575,1
576,0
577,4
578,1
579,3
580,0
581,2
582,1
583,0
584,0
585,0
586,0
587,0
588,5
589,2
590,4
591,2
592,2
593,0
594,4
595,5
596,0
597,1
598,4
599,4
600,4
601,5
602,2
603,5
604,4
605,2
606,2
607,0
608,0
609,1
610,4
611,3
612,0
613,0
614,2
615,2
616,4
617,1
618,4
619,0
620,2
621,1
622,5
623,3
624,0
625,3
626,5
627,5
628,0
629,2
630,3
631,2
632,5
633,4
634,0
635,3
636,0
637,2
638,1
639,0
640,2
641,3
642,1
643,3
644,5
645,0
646,2
647,4
648,4
649,5
650,3
651,1
652,0
653,2
654,0
655,1
656,2
657,0
658,5
659,2
660,1
661,0
662,1
663,3
664,0
665,4
666,3
667,2
668,2
669,3
670,5
671,3
672,2
673,3
674,0
675,4
676,2
677,1
678,1
679,5
680,3
681,3
682,0
683,3
684,5
685,3
686,1
687,1
688,5
689,4
690,0
691,4
692,2
693,4
694,5
695,0
696,3
697,4
698,5
699,0
700,1
701,2
702,0
703,0
704,4
705,3
706,0
707,4
708,4
709,4
710,3
711,4
712,5
713,5
714,3
715,4
716,0
717,1
718,2
719,4
720,4
721,1
722,3
723,5
724,5
725,0
726,2
727,5
728,1
729,0
730,5
731,0
732,4
733,3
734,3
735,2
736,0
737,5
738,5
739,3
740,5
741,0
742,1
743,2
744,3
745,2
746,4
747,1
748,2
749,3
750,4
751,1
752,1
753,4
754,0
755,4
756,0
757,5
758,0
759,0
760,0
761,4
762,0
763,0
764,2
765,0
766,0
767,0
768,1
769,3
770,0
771,1
772,3
773,4
774,3
775,1
776,4
777,2
778,0
779,5
780,3
781,3
782,4
783,3
784,0
785,1
786,4
787,4
788,5
789,2
790,3
791,3
792,1
793,5
794,1
795,2
796,1
797,1
798,3
799,0
800,5
801,2
802,3
803,2
804,1
805,3
806,2
807,2
808,0
809,0
810,2
811,1
812,3
813,0
814,2
815,4
816,3
817,4
818,5
819,1
820,2
821,5
822,1
823,1
824,3
825,0
826,2
827,2
828,1
829,3
830,1
831,5
832,1
833,3
834,2
835,0
836,3
837,2
838,4
839,0
840,2
841,1
842,2
843,2
844,1
845,2
846,1
847,4
848,4
849,1
850,3
851,3
852,3
853,0
854,3
855,0
856,1
857,5
858,4
859,4
860,5
861,2
862,1
863,2
864,0
865,0
866,4
867,4
868,2
869,3
870,0
871,3
872,3
873,0
874,5
875,0
876,3
877,0
878,5
879,0
880,1
881,0
882,2
883,3
884,3
885,1
886,2
887,1
888,5
889,3
890,4
891,2
892,2
893,0
