id,ans
1,0
11,1
21,3
31,0
41,4
51,2
61,0
71,5
81,3
91,0
101,0
111,0
121,1
131,0
141,2
151,0
161,3
171,1
181,5
191,3
201,1
211,0
221,2
231,2
241,0
251,1
261,0
271,3
281,0
291,3
301,0
311,4
321,4
331,3
341,2
351,3
361,0
371,1
381,3
391,0
401,3
411,5
421,2
431,0
441,1
451,1
461,2
471,5
481,0
491,0
501,2
511,1
521,3
531,2
541,3
551,1
561,3
571,5
581,2
591,1
601,4
611,3
621,1
631,1
641,3
651,1
661,0
671,2
681,2
691,5
701,0
711,0
721,3
731,0
741,0
751,1
761,4
771,1
781,1
791,1
801,2
811,1
821,1
831,5
841,4
851,5
861,2
871,4
881,0
891,0
901,0
911,4
921,2
931,0
941,5
951,3
961,0
971,5
981,0
991,0
1001,2
1011,0
1021,4
1031,5
1041,1
1051,0
1061,3
1071,0
1081,0
1091,0
1101,2
1111,2
1121,0
1131,2
1141,2
1151,3
1161,0
1171,2
1181,1
1191,2
1201,5
1211,4
1221,0
1231,4
1241,0
1251,0
1261,2
1271,4
1281,1
1291,0
1301,1
1311,1
1321,0
1331,0
1341,0
1351,1
1361,0
1371,0
1381,2
1391,1
1401,3
1411,4
1421,0
1431,0
1441,0
1451,5
1461,3
1471,3
1481,0
1491,5
1501,0
1505,0
1511,1
1515,1
1521,0
1525,4
1531,0
1535,3
1541,2
1545,0
1551,2
1555,4
1561,4
1565,1
1571,2
1575,0
1581,3
1585,3
1591,1
1595,5
1601,0
1605,0
1611,5
1615,3
1621,0
1625,0
1631,0
1635,0
1641,4
1645,1
1651,1
1655,2
1661,4
1665,1
1671,2
1675,2
1681,0
1685,1
1691,0
1695,0
1701,3
1705,0
1711,1
1715,1
1721,3
1725,4
1731,2
1735,3
1741,5
1745,4
1751,2
1755,5
1761,0
1765,0
1771,0
1775,3
1781,0
1785,1
1791,0
1795,1
1801,1
1805,5
1811,3
1815,4
1821,3
1825,3
1831,2
1835,3
1841,0
1845,4
1851,3
1855,2
1861,1
1865,2
1871,3
1875,2
1881,3
1885,4
1891,0
1895,4
1901,0
1905,4
1911,3
1915,5
1921,2
1925,1
1931,3
1935,0
1941,1
1945,4
1951,1
1955,5
1961,2
1965,2
1971,0
1975,1
1981,0
1985,4
1991,0
1995,4
2001,2
2005,1
2011,2
2015,0
2021,0
2025,5
2031,2
2035,3
2041,0
2045,2
2051,0
2055,4
2061,0
2065,0
2071,0
2075,0
2081,2
2085,5
2091,0
2095,4
2101,5
2105,4
2111,1
2115,1
2121,1
2125,2
2131,0
2135,4
2141,0
2145,4
2151,4
2155,0
2161,2
2165,0
2171,5
2175,3
2181,3
2185,4
2191,0
2195,3
2201,0
2205,4
2211,0
2215,2
2221,3
2225,1
2231,1
2235,3
2241,0
2245,1
2251,3
2255,2
2261,1
2265,2
2271,0
2275,4
2281,0
2285,0
2291,1
2295,0
2301,5
2305,1
2311,4
2315,3
2321,0
2325,1
2331,5
2335,0
2341,3
2345,1
2351,3
2355,4
2361,1
