id,ans
1,0
2,3
3,3
4,1
5,0
6,0
7,2
8,3
9,3
10,0
11,0
12,2
13,3
14,5
15,2
16,0
17,4
18,0
19,3
20,1
21,0
22,2
23,2
24,4
25,4
26,5
27,5
28,3
29,0
30,0
31,5
32,4
33,1
34,3
35,4
36,1
37,1
38,2
39,4
40,1
41,4
42,5
43,0
44,5
45,4
46,3
47,4
48,3
49,5
50,3
51,2
52,4
53,5
54,1
55,4
56,1
57,5
58,3
59,1
60,0
61,0
62,3
63,2
64,4
65,0
66,3
67,2
68,2
69,3
70,4
71,1
72,1
73,0
74,3
75,0
76,4
77,2
78,5
79,3
80,0
81,1
82,3
83,2
84,5
85,1
86,0
87,1
88,0
89,3
90,1
91,5
92,1
93,0
94,1
95,3
96,3
97,2
98,2
99,5
100,5
101,2
102,5
103,0
104,0
105,0
106,0
107,0
108,5
109,0
110,5
111,5
112,5
113,1
114,3
115,5
116,0
117,1
118,4
119,0
120,1
121,1
122,2
123,3
124,4
125,5
126,1
127,5
128,3
129,0
130,5
131,3
132,2
133,3
134,3
135,0
136,1
137,3
138,2
139,1
140,0
141,2
142,4
143,0
144,5
145,4
146,2
147,4
148,5
149,0
150,0
151,0
152,4
153,4
154,0
155,0
156,2
157,0
158,5
159,4
160,3
161,2
162,1
163,3
164,4
165,2
166,2
167,1
168,1
169,0
170,0
171,0
172,5
173,0
174,4
175,2
176,1
177,0
178,3
179,4
180,3
181,4
182,2
183,3
184,2
185,3
186,1
187,0
188,5
189,3
190,4
191,3
192,5
193,0
194,3
195,1
196,0
197,5
198,4
199,0
200,5
201,5
202,3
203,3
204,4
205,5
206,0
207,4
208,5
209,0
210,0
211,0
212,2
213,5
214,3
215,2
216,0
217,4
218,2
219,2
220,4
221,1
222,1
223,5
224,2
225,4
226,2
227,1
228,5
229,2
230,1
231,2
232,0
233,1
234,1
235,3
236,5
237,3
238,5
239,0
240,5
241,5
242,0
243,4
244,3
245,3
246,5
247,2
248,2
249,2
250,0
251,1
252,2
253,3
254,1
255,4
256,0
257,1
258,1
259,4
260,1
261,2
262,2
263,1
264,3
265,1
266,4
267,2
268,4
269,3
270,4
271,4
272,3
273,2
274,1
275,4
276,5
277,1
278,4
279,1
280,2
281,0
282,5
283,3
284,2
285,1
286,5
287,2
288,1
289,4
290,3
291,5
292,2
293,0
294,2
295,3
296,2
297,2
298,0
299,1
300,0
301,0
302,5
303,1
304,0
305,5
306,0
307,0
308,1
309,1
310,1
311,4
312,1
313,2
314,3
315,5
316,2
317,0
318,3
319,0
320,0
321,4
322,1
323,2
324,3
325,0
326,2
327,2
328,0
329,0
330,1
331,3
332,5
333,0
334,3
335,0
336,3
337,3
338,2
339,5
340,2
341,3
342,4
343,3
344,2
345,2
346,4
347,4
348,2
349,1
350,0
351,2
352,1
353,3
354,4
355,0
356,4
357,2
358,4
359,4
360,1
361,0
362,2
363,5
364,0
365,3
366,5
367,2
368,2
369,4
370,2
371,1
372,1
373,0
374,0
375,3
376,3
377,1
378,0
379,0
380,2
381,5
382,0
383,5
384,2
385,1
386,2
387,0
388,3
389,5
390,1
391,0
392,0
393,1
394,2
395,2
396,2
397,5
398,2
399,1
400,0
401,0
402,2
403,1
404,0
405,0
406,0
407,3
408,2
409,2
410,0
411,5
412,0
413,5
414,2
415,3
416,4
417,1
418,5
419,1
420,5
421,4
422,1
423,5
424,2
425,4
426,1
427,0
428,2
429,4
430,4
431,0
432,2
433,4
434,0
435,1
436,4
437,2
438,4
439,1
440,0
441,1
442,5
443,0
444,0
445,0
446,1
447,4
448,5
449,2
450,3
451,1
452,4
453,0
454,4
455,2
456,1
457,5
458,1
459,5
460,2
461,2
462,5
463,0
464,3
465,5
466,5
467,1
468,0
469,1
470,5
471,4
472,3
473,4
474,2
475,0
476,2
477,0
478,1
479,1
480,2
481,4
482,1
483,2
484,5
485,5
486,1
487,3
488,2
489,5
490,4
491,0
492,0
493,0
494,4
495,2
496,1
497,4
498,0
499,1
500,4
501,0
502,4
503,1
504,2
505,2
506,2
507,2
508,1
509,2
510,5
511,1
512,1
513,2
514,4
515,1
516,5
517,2
518,4
519,5
520,4
521,3
522,0
523,1
524,1
525,4
526,1
527,5
528,0
529,4
530,3
531,2
532,5
533,2
